FAERS_drug_match,lookup_value,indi_pt
"ADRENAL HEALTH (BRAND) = (SIBERIAN RHODIOLA, RHODIOLA, HOLY BASIL, SCHISANDRA BERRY, ASHWAGANDHA ROOT) PHOSPHORYLATED SERINE",Ashwaganda,
ASHWAGANDHA,Ashwaganda,Product used for unknown indication
ASHWAGANDHA,Ashwaganda,Routine health maintenance
ASHWAGANDHA,Ashwaganda,Stress
ASHWAGANDHA,Ashwaganda,Arthropathy
ASHWAGANDHA,Ashwaganda,Prophylaxis
ASHWAGANDHA,Ashwaganda,Immune system disorder
ASHWAGANDHA,Ashwaganda,Anxiety
ASHWAGANDHA,Ashwaganda,Immunomodulatory therapy
ASHWAGANDHA,Ashwaganda,Sleep disorder
"ASHWAGANDHA,",Ashwaganda,
ASHWAGANDHA                        /01660201/,Ashwaganda,Product used for unknown indication
ASHWAGANDHA                        /01660201/,Ashwaganda,Immune system disorder
ASHWAGANDHA                        /01660201/,Ashwaganda,Abdominal discomfort
ASHWAGANDHA /01660201/,Ashwaganda,Pain
ASHWAGANDHA (+) CATS CLAW (+) PAU D'ARCO (+) RHODIOLA (+) STEMMACANTHA,Ashwaganda,
ASHWAGANDHA EXTRACT,Ashwaganda,Product used for unknown indication
ASHWAGANDHA ROOT EXTRACT,Ashwaganda,Attention deficit/hyperactivity disorder
ASHWAGANDHA (WITHANIA SOMNIFERA),Ashwaganda,
ASHWAGANDHA [WITHANIA SOMNIFERA],Ashwaganda,Product used for unknown indication
ASHWAGANDHA [WITHANIA SOMNIFERA],Ashwaganda,Menopause
ASHWAGANDHA [WITHANIA SOMNIFERA],Ashwaganda,Sedation
ASHWAGANDHA [WITHANIA SOMNIFERA],Ashwaganda,Supplementation therapy
ASHWAGANDHA [WITHANIA SOMNIFERA ROOT],Ashwaganda,Product used for unknown indication
ASHWAGANDHA [WITHANIA SOMNIFERA ROOT],Ashwaganda,Supplementation therapy
AYUR-ASHWAGANDHA,Ashwaganda,
BR. NUTRITION ASHWAGANDHA EXTRA STRENGTH,Ashwaganda,
PAPAYA SEEDS ASHWAGANDHA,Ashwaganda,
PURE ENCAPSULATIONS ASHWAGANDHA EXTRACT,Ashwaganda,
SOLGAR ASHWAGANDHA ROOT EXTRACT,Ashwaganda,
WITHANIA SOMNEFERA,Ashwaganda,
WITHANIA SOMNIFERA,Ashwaganda,Product used for unknown indication
WITHANIA SOMNIFERA,Ashwaganda,Drug use for unknown indication
WITHANIA SOMNIFERA ROOT.,Ashwaganda,Abdominal discomfort
"BUTCHER'S BROOM ROOT, 940 MG",Butcher's-broom,
