FAERS_drug_match,lookup_value,indi_pt
"ANUSOL (BENZYL BENZOATE, BISMUTH OXIDE, BISMUTH SUBGALLATE HYDROCORTISONE ACETATE, PERU BALSAM,ZINC OXIDE)",Cinnamon,
ANUSOL (BENZYL BENZOATE/BISMUTH RESORCINOL/BISMUTH SUBGALLATE/PERUVIAN,Cinnamon,
"ANUSOL-HC (BALSAM PERU, BENZYL BENZOATE, BISMUTH HYDROXIDE, BISMUTH SU",Cinnamon,
ANUSOL-HC [BENZYL BENZOATE;BISMUTH HYDROXIDE;,Cinnamon,
"ANUSOL-HC (BENZYL BENZOATE, BISMUTH HYDROXIDE, BISMUTH SUBGALLATE, HYD",Cinnamon,
ANUSOL-HC [BENZYL BENZOATE;BISMUTH HYDROXIDE;BISMUTH SUBGALLATE;HYDROC,Cinnamon,Product used for unknown indication
ANUSOL-HC [BENZYL BENZOATE;BISMUTH HYDROXIDE;BISMUTH SUBGALLATE;HYDROCORTISONE ACETATE;MYROXYLON BALSAMUM VAR. PEREIRAE BALSAM;RESORCINOL;ZINC OXIDE],Cinnamon,
ANUSOL HC (BENZYL BENZOATE (+) BISMUTH OXIDE (+) BISMUTH SUBGALLATE (+,Cinnamon,
ANUSOL HC [BENZYL BENZOATE;BISMUTH OXIDE;BISMUTH SUBGALLATE;HYDROCORTI,Cinnamon,
"ANUSOL-HC (HYDROCORTISONE ACETATE, RESORCINOL, BENZYL BENZOATE, ZINC O",Cinnamon,
"ANUSOL-HC SUPPOSITORIES (BENZYL BENZOATE, BISMUTH HYDROXIDE, BISMUTH S",Cinnamon,
"ANUSOL (HYDROCORTISONE ACETATE, BENZYL BENZOATE, BISMUTH OXIDE, BISMUTH SUGALLATE, PERU BALSUM, ZINC OXIDE)",Cinnamon,
ASCABIOL [BENZYL BENZOATE],Cinnamon,Product used for unknown indication
BENZYL ALCOHOL/BENZYL BENZOATE/BENZYL CINNAMATE/LANOLIN/ZINC OXIDE,Cinnamon,
BENZYL ALCOHOL/BENZYL CINNAMATE/BENZYL BENZOATE/ZINC OXIDE/WOOL FAT,Cinnamon,Product used for unknown indication
BENZYL BENZOATE;BISMUTH HYDROXIDE;BISMUTH SUBGALLATE;MYROXYLON BALSAMU,Cinnamon,Product used for unknown indication
BENZYL BENZOATE/RESORCINOL/BISMUTH SUBGALLATE/BISMUTH HYDROXIDE/ZINC OXIDE/MYROXYLON BALSAMUM VAR. P,Cinnamon,
"SUDOCREM (BENZYL ALCOHOL, BENZYL BENZOATE, BENZYL CINNAMATE, LANOLIN,",Cinnamon,
"SUDOCREM (BENZYL ALCOHOL, BENZYL CLINNAMATE, BENZYL BENZOATE, ZINC OXIDE, LANOLIN)",Cinnamon,
CASSIA,Cinnamon,Product used for unknown indication
CASSIA,Cinnamon,Constipation
CASSIA,Cinnamon,Functional gastrointestinal disorder
CASSIA,Cinnamon,Weight decreased
CASSIA,Cinnamon,Gastrointestinal disorder
CASSIA,Cinnamon,Ill-defined disorder
CASSIA ACUTIFOLIA,Cinnamon,Constipation
CASSIA ACUTIFOLIA,Cinnamon,Product used for unknown indication
