FAERS_drug_match,lookup_value
Cinnamomum verum,"ANUSOL (BENZYL BENZOATE, BISMUTH OXIDE, BISMUTH SUBGALLATE HYDROCORTISONE ACETATE, PERU BALSAM,ZINC OXIDE)"
Cinnamomum verum,ANUSOL (BENZYL BENZOATE/BISMUTH RESORCINOL/BISMUTH SUBGALLATE/PERUVIAN
Cinnamomum verum,"ANUSOL-HC (BALSAM PERU, BENZYL BENZOATE, BISMUTH HYDROXIDE, BISMUTH SU"
Cinnamomum verum,ANUSOL-HC [BENZYL BENZOATE;BISMUTH HYDROXIDE;
Cinnamomum verum,"ANUSOL-HC (BENZYL BENZOATE, BISMUTH HYDROXIDE, BISMUTH SUBGALLATE, HYD"
Cinnamomum verum,ANUSOL-HC [BENZYL BENZOATE;BISMUTH HYDROXIDE;BISMUTH SUBGALLATE;HYDROC
Cinnamomum verum,ANUSOL-HC [BENZYL BENZOATE;BISMUTH HYDROXIDE;BISMUTH SUBGALLATE;HYDROCORTISONE ACETATE;MYROXYLON BALSAMUM VAR. PEREIRAE BALSAM;RESORCINOL;ZINC OXIDE]
Cinnamomum verum,ANUSOL HC (BENZYL BENZOATE (+) BISMUTH OXIDE (+) BISMUTH SUBGALLATE (+
Cinnamomum verum,ANUSOL HC [BENZYL BENZOATE;BISMUTH OXIDE;BISMUTH SUBGALLATE;HYDROCORTI
Cinnamomum verum,"ANUSOL-HC (HYDROCORTISONE ACETATE, RESORCINOL, BENZYL BENZOATE, ZINC O"
Cinnamomum verum,"ANUSOL-HC SUPPOSITORIES (BENZYL BENZOATE, BISMUTH HYDROXIDE, BISMUTH S"
Cinnamomum verum,"ANUSOL (HYDROCORTISONE ACETATE, BENZYL BENZOATE, BISMUTH OXIDE, BISMUTH SUGALLATE, PERU BALSUM, ZINC OXIDE)"
Cinnamomum verum,ASCABIOL [BENZYL BENZOATE]
Cinnamomum verum,BENZYL ALCOHOL/BENZYL BENZOATE/BENZYL CINNAMATE/LANOLIN/ZINC OXIDE
Cinnamomum verum,BENZYL ALCOHOL/BENZYL CINNAMATE/BENZYL BENZOATE/ZINC OXIDE/WOOL FAT
