,epoch,train_loss,train_acc,val_loss,val_acc
0,1,0.0707,0.8619,0.0555,0.8625
1,2,0.0529,0.8632,0.0542,0.8625
2,3,0.0489,0.8606,0.0418,0.8625
3,4,0.0415,0.8727,0.0368,0.9107
4,5,0.0343,0.9224,0.0332,0.9343
5,6,0.0299,0.9403,0.0309,0.9381
6,7,0.0258,0.9491,0.0248,0.9527
7,8,0.0204,0.9626,0.0201,0.9621
8,9,0.0168,0.9717,0.0186,0.9652
9,10,0.0135,0.9758,0.0172,0.968
10,11,0.0115,0.9798,0.0131,0.9772
11,12,0.0091,0.9847,0.0118,0.9785
12,13,0.008,0.9861,0.0112,0.9777
13,14,0.0076,0.9866,0.0103,0.9803
14,15,0.0061,0.9896,0.01,0.9824
15,16,0.0051,0.991,0.0092,0.9829
16,17,0.0052,0.9903,0.0093,0.9823
17,18,0.0051,0.9902,0.0088,0.9826
18,19,0.0042,0.9926,0.0088,0.9832
19,20,0.0044,0.9912,0.0085,0.9839
20,21,0.0036,0.9932,0.0092,0.9823
21,22,0.0036,0.9923,0.0083,0.9841
22,23,0.0033,0.9928,0.0087,0.9828
23,24,0.0028,0.994,0.0087,0.9832
24,25,0.0027,0.9943,0.0087,0.9837
25,26,0.0029,0.9942,0.0083,0.9844
26,27,0.0028,0.9938,0.0082,0.9841
27,28,0.0027,0.9943,0.0094,0.9818
28,29,0.003,0.9935,0.0085,0.9837
29,30,0.0026,0.9944,0.0084,0.9846
30,31,0.0025,0.9944,0.0084,0.9842
31,32,0.0028,0.9939,0.0083,0.9846
32,33,0.0027,0.994,0.0083,0.9834
33,34,0.0028,0.9939,0.0081,0.9849
34,35,0.0022,0.995,0.0084,0.9826
35,36,0.002,0.9954,0.0083,0.9837
