,name,lookup_value
0,BURSA ORIENTALIS WHOLE,TILIA AMERICANA
1,KERNERIA LEUCANTHEMA WHOLE,SCUTELLARIA LATERIFLORA
2,EPIMEDIUM GRANDIFLORUM,URTICA DIOICA
3,BAUHINIA FURCATA WHOLE,CYPERUS ROTUNDUS
4,ERYTHRAEA SHUTTLEWORTHIANA WHOLE,ALOYSIA TRIPHYLLA
5,ZYGAENA LEWINI WHOLE,EUGENIA BIFLORA
6,CASTANEA FORMOSANA WHOLE,ACER RUBRUM
7,BLUMEA ELONGATA WHOLE,GANODERMA LUCIDUM
8,COMMELINA WERNEANA WHOLE,VIBURNUM OPULUS
9,ROSA RAMOSISSIMA WHOLE,NUPHAR LUTEA
10,ROSA GLAUCESCENS WHOLE,KNAUTIA ARVENSIS
11,PAPAVER RHOEAS WHOLE,MIRABILIS JALAPA
12,FILIX-FOEMINA AQUILINA WHOLE,SENNA ALEXANDRINA
13,ALPINIA OFFICINARUM HANCE,UNCARIA TOMENTOSA
14,LINARIA VULGARIS WHOLE,BACOPA MONNIERI
15,ULMUS MODIOLINA WHOLE,PRUNUS ANGUSTIFOLIA
16,CORALLODENDRON ABYSSINICUM WHOLE,LEPIDIUM MEYENII
17,IONIDIUM ERECTUM WHOLE,QUERCUS GAMBELII
18,ARENARIA JUSSIAEI WHOLE,SOLANUM ANGUIVI
19,ALLIUM BYZANTINUM WHOLE,SENNA ITALICA
20,TYPHA AEQUALIS WHOLE,LENS CULINARIS
21,PASPALUM NOTATUM,BRASSICA JUNCEA
22,CURCUMA OCHRORHIZA WHOLE,DIANTHUS CARTHUSIANORUM
23,QUERCUS PSEUDOILEX WHOLE,ACHILLEA MILLEFOLIUM
24,ACACIA SALIGNA WHOLE,TURNERA DIFFUSA
25,SELINUM MEUM WHOLE,SALVIA SCLAREA
26,ANETHUM GRAVEOLENS,PETROSELINUM CRISPUM
27,ROSA CURTICOLA WHOLE,ALCEA SETOSA
28,POINTEDLEAF TICKTREFOIL WHOLE,BIDENS PILOSA
29,STICKY-WILLY WHOLE,ARECA CATECHU
