,name,lookup_value
0,BERBERIS SERRATIFOLIA WHOLE,BARBERRY
1,BERBERIS SIKKIMENSIS WHOLE,BARBERRY
2,BERBERIS UNDULATA WHOLE,BARBERRY
3,BERBERIS CERATOPHYLLA WHOLE,BARBERRY
4,BERBERIS ARISTATA [WHO-DD],BARBERRY
5,BERBERIS ARISTATA DC.,BARBERRY
6,BERBERIS BUSSMUL WHOLE,BARBERRY
7,BERBERIS COERULESCENS WHOLE,BARBERRY
8,DARVI WHOLE,BARBERRY
9,BERBERIS CHITRIA WHOLE,BARBERRY
10,INDIAN BARBERRY [HOC],BARBERRY
11,NEPALESE BARBERRY WHOLE,BARBERRY
12,INDIAN BARBERRY WHOLE,BARBERRY
13,BERBERIS GRACILLIMA WHOLE,BARBERRY
14,DARUHARIDRA WHOLE,BARBERRY
15,BERBERIS ARISTATA WHOLE,BARBERRY
16,BERBERIS COCCINEA WHOLE,BARBERRY
17,BERBERIS MACROPHYLLA WHOLE,BARBERRY
18,MULDERA MULTINERVIS WHOLE,BLACK PEPPER
19,PEPPER [HOC],BLACK PEPPER
20,BLACK PEPPER WHOLE,BLACK PEPPER
21,PIPER NIGRUM L.,BLACK PEPPER
22,PIPER NIGRUM WHOLE,BLACK PEPPER
23,CUBAN OREGANO WHOLE,COLEUS
24,INDIAN BORAGE WHOLE,COLEUS
25,COLEUS AMBOINICUS WHOLE,COLEUS
26,OCIMUM VAALAE WHOLE,COLEUS
27,COLEUS SUBORBICULARIS WHOLE,COLEUS
28,MEXICAN MINT WHOLE,COLEUS
29,COLEUS AROMATICUS WHOLE,COLEUS
30,MEXICAN THYME WHOLE,COLEUS
31,COLEUS CRASSIFOLIUS WHOLE,COLEUS
32,COLEUS VAALAE WHOLE,COLEUS
33,INDIAN BORAGE [HOC],COLEUS
34,INDIAN THYME WHOLE,COLEUS
35,PLECTRANTHUS AMBOINICUS WHOLE,COLEUS
36,VICK'S PLANT WHOLE,COLEUS
37,COLEUS SUBFRUTECTOSUS WHOLE,COLEUS
38,COLEUS CARNOSUS WHOLE,COLEUS
39,MAJANA CARNOSA WHOLE,COLEUS
40,COLEUS SUGANDA WHOLE,COLEUS
41,MAJANA SUGANDA WHOLE,COLEUS
42,PLECTRANTHUS AMBOINICUS (LOUR.) SPRENG.,COLEUS
43,MAJANA AMBOINICA WHOLE,COLEUS
44,CHINESE GOLDTHREAD WHOLE,COPTIS
45,COPTIS CHINENSIS [WHO-DD],COPTIS
46,HUANG LIAN WHOLE,COPTIS
47,COPTIS CHINENSIS WHOLE,COPTIS
48,COPTIS (COPTIS CHINENSIS) [HOC],COPTIS
49,COPTIS CHINENSIS FRANCH.,COPTIS
50,SURENUS SINENSIS WHOLE,CORDYCEPS
51,CEDRELA GLABRA WHOLE,CORDYCEPS
52,TOONA GLABRA WHOLE,CORDYCEPS
53,AILANTHUS FLAVESCENS WHOLE,CORDYCEPS
54,TOONA SINENSIS (JUSS.) M.ROEM.,CORDYCEPS
55,TOONA LONGIFOLIA WHOLE,CORDYCEPS
56,AILANTHUS MAIREI WHOLE,CORDYCEPS
57,CEDRELA SINENSIS WHOLE,CORDYCEPS
58,TOONA SINENSIS WHOLE,CORDYCEPS
59,EUROPEAN BLACK ELDERBERRY WHOLE,ELDERBERRY
60,EUROPEAN BLACK ELDER WHOLE,ELDERBERRY
61,BLACK ELDERBERRY WHOLE,ELDERBERRY
62,EUROPEAN ELDER [HOC],ELDERBERRY
63,SAMBUCUS AUREA WHOLE,ELDERBERRY
64,SAMBUCUS NIGRA L.,ELDERBERRY
65,SAMBUCUS PYRAMIDATA WHOLE,ELDERBERRY
66,SAMBUCUS VULGARIS WHOLE,ELDERBERRY
67,SAMBUCUS ALBA WHOLE,ELDERBERRY
68,EUROPEAN ELDERBERRY WHOLE,ELDERBERRY
69,SAMBUCUS LACINIATA WHOLE,ELDERBERRY
70,ELDERBERRY WHOLE,ELDERBERRY
71,SAMBUCUS NIGRA WHOLE,ELDERBERRY
72,ELDER WHOLE,ELDERBERRY
73,SAMBUCUS ARBORESCENS WHOLE,ELDERBERRY
